지점,시간,평균 이산화탄소(CO2) 배경대기농도(ppm),평균 메탄(CH4) 배경대기농도(ppm),평균 아산화질소(N2O) 배경대기농도(ppm),평균 염화불화탄소11(CFC11) 배경대기농도(ppm),평균 염화불화탄소12(CFC12) 배경대기농도(ppm),평균 염화불화탄소113(CFC113) 배경대기농도(ppm),평균 육불화황(SF6) 배경대기농도(ppm)
안면도(감)(132),Nov-06,387.9,1890,321.7,240.9,504,,
안면도(감)(132),Dec-06,389.5,1901,322,238.4,523.1,,
안면도(감)(132),Jan-07,390.5,1905,322.9,235.1,526.1,,
안면도(감)(132),Feb-07,391,1901,323.5,239.1,536.9,75.7,
안면도(감)(132),Mar-07,392.2,1892,322.4,237,550.6,82.3,6.2
안면도(감)(132),Apr-07,393,1892,321.3,232.5,539,73.9,6.4
안면도(감)(132),May-07,391.7,,321,233.7,539.5,73.9,6.3
안면도(감)(132),Jun-07,388.1,,320.7,244.7,541.7,79.7,6.5
안면도(감)(132),Jul-07,383.3,,321.9,236.8,541.6,76.7,6.6
안면도(감)(132),Aug-07,381,1831,322.4,229.9,551.6,,6.1
안면도(감)(132),Sep-07,383,1900,321,231.1,552.6,,6
안면도(감)(132),Oct-07,387.1,,321.4,232.6,546.1,88.5,6
안면도(감)(132),Nov-07,390.2,1900,321.9,214.9,507.6,82.8,6.4
안면도(감)(132),Dec-07,391.6,1897,321.8,202.9,489.2,80.4,6.8
안면도(감)(132),Jan-08,392.5,1900,322.3,208.2,489.1,75.6,6.6
안면도(감)(132),Feb-08,393.5,1909,321.9,230.3,511,76.9,6.4
안면도(감)(132),Mar-08,394.6,1913,321.3,228.5,528.5,76.7,6.5
안면도(감)(132),Apr-08,395.2,1901,320.9,231.3,548.4,79,6
안면도(감)(132),May-08,393.9,1893,321.6,228,528.1,76.8,6.6
안면도(감)(132),Jun-08,390.5,1896,324.1,223,515.9,74.2,6.9
안면도(감)(132),Jul-08,385.7,1840,323.7,253.3,534,70.3,6.8
안면도(감)(132),Aug-08,382.8,1844,321.6,254.1,532.3,76.5,6.7
안면도(감)(132),Sep-08,384.8,1856,323.8,249.5,518.5,77.8,6.2
안면도(감)(132),Oct-08,389.2,1901,325.3,246.3,509.4,76.4,6.4
안면도(감)(132),Nov-08,392.3,1910,323.3,246.1,519,79.3,7
안면도(감)(132),Dec-08,393.7,1910,322.7,249.5,531.6,82.3,7.1
안면도(감)(132),Jan-09,394.4,1906,323.3,246,527.4,70.8,7
안면도(감)(132),Feb-09,395.2,1916,323.3,249.3,530.8,80,7.2
안면도(감)(132),Mar-09,396.4,1910,323.6,249.9,530.6,78.3,7.1
안면도(감)(132),Apr-09,397,1906,323.8,246.8,529.2,76.2,7.3
안면도(감)(132),May-09,395.4,1895,323.4,244,518.6,76.7,7.3
안면도(감)(132),Jun-09,391.6,1881,323.6,241.7,522.7,75.9,7.3
안면도(감)(132),Jul-09,387.3,1869,324.5,249.7,531.6,79.9,7.4
안면도(감)(132),Aug-09,384.9,1879,324.4,247.9,526.6,76.7,7.4
안면도(감)(132),Sep-09,386.8,1908,323.9,246.7,527.5,80,7.4
안면도(감)(132),Oct-09,391.6,1909,324.2,247.5,527.5,80,7.2
안면도(감)(132),Nov-09,394.9,1905,324.1,246.2,527.5,80.7,7.4
안면도(감)(132),Dec-09,396,1915,323.8,247.8,532.5,83.6,7.2
안면도(감)(132),Jan-10,397.1,1918,323.2,249.5,534.6,81.4,7.5
안면도(감)(132),Feb-10,397.9,1913,323.3,251.5,539,77.5,7.1
안면도(감)(132),Mar-10,398,1920,324.4,251.8,539.4,72.2,7.5
안면도(감)(132),Apr-10,398.3,1907,324.4,213,508.5,,7.8
안면도(감)(132),May-10,397.8,1884,324.3,214.7,513.5,,7.8
안면도(감)(132),Jun-10,394.8,1902,325.3,223.2,532.2,75.3,7.9
안면도(감)(132),Jul-10,390.3,1851,325.4,221.3,533.4,79.3,7
안면도(감)(132),Aug-10,387.8,1863,325.7,207.8,503.1,74,6.8
안면도(감)(132),Sep-10,389.5,1918,326.4,214.2,510.5,72.4,7.2
안면도(감)(132),Oct-10,393.6,1913,326.6,238.6,523.8,73.7,8.4
안면도(감)(132),Nov-10,396.6,1912,325.8,242.2,534.2,75.2,8.6
안면도(감)(132),Dec-10,397.6,1917,324.3,241.4,538.1,75.2,8.4
안면도(감)(132),Jan-11,398.6,1911,324.5,257.9,,81,8.3
안면도(감)(132),Feb-11,399.4,1922,325.3,269,,80.5,8
안면도(감)(132),Mar-11,399.8,1907,324.5,237.1,501.8,74.1,7.7
안면도(감)(132),Apr-11,400.5,1906,324.5,240.4,510.4,72,7.6
안면도(감)(132),May-11,400,1903,324.9,233.7,486.1,75.3,7.7
안면도(감)(132),Jun-11,396.9,1895,324.8,233,480.1,75.6,7.8
안면도(감)(132),Jul-11,392.1,1877,325.5,234.1,480.4,76.3,8.2
안면도(감)(132),Aug-11,388.8,1870,324.5,232.8,484.2,76.1,7.9
안면도(감)(132),Sep-11,390.9,1925,322.6,,485.3,75.6,8.3
안면도(감)(132),Oct-11,395.9,1919,322.8,239.3,550.5,76.3,8.2
안면도(감)(132),Nov-11,398.6,1920,322.9,247.4,545.6,75.8,8.7
안면도(감)(132),Dec-11,399.9,1925,324.1,246.2,543.5,75.1,8.7
안면도(감)(132),Jan-12,401.3,1929,326.6,231.9,525.7,74.2,8.1
안면도(감)(132),Feb-12,402.2,1931,326.7,233.1,528.6,75.3,7.9
안면도(감)(132),Mar-12,403.4,1932,326.2,233,530,76.2,8
안면도(감)(132),Apr-12,404.3,1918,,222.5,505.9,78.3,8
안면도(감)(132),May-12,403.2,1927,,223.4,500,80.3,8.3
안면도(감)(132),Jun-12,399.6,1906,,220.7,499.1,77.6,7.9
안면도(감)(132),Jul-12,394.9,1878,,207.2,503.2,72.9,7.8
안면도(감)(132),Aug-12,392.2,1881,,204.4,506.2,72.1,8.4
안면도(감)(132),Sep-12,393.9,1927,,204.8,505.3,71.9,8.4
안면도(감)(132),Oct-12,398.9,1929,,201.9,504.4,72.5,8.2
안면도(감)(132),Nov-12,402.3,1933,,198.1,505.4,73.8,8.2
안면도(감)(132),Dec-12,403.1,1943,,197.7,505.6,73.4,8.1
안면도(감)(132),Jan-13,404.2,1948,,196.8,503.7,73.8,8.1
안면도(감)(132),Feb-13,405.3,1953,,194.7,500.8,74,8.1
안면도(감)(132),Mar-13,406,1948,,214.7,524.9,72.9,8.2
안면도(감)(132),Apr-13,406.8,1932,,221.1,525.4,73,8.2
안면도(감)(132),May-13,405.5,1932,,221.6,526.6,73.2,8.2
안면도(감)(132),Jun-13,401.9,1931,,221.8,520.4,73.8,8.4
안면도(감)(132),Jul-13,397.9,1892,,224,509.6,74.6,8.2
안면도(감)(132),Aug-13,394.8,1885,,,,71.8,8.2
안면도(감)(132),Sep-13,396.3,1931,,,,70.4,8.2
안면도(감)(132),Oct-13,400.8,1940,,224.4,,70.3,8.4
안면도(감)(132),Nov-13,403.9,1937,325.5,228,,70.5,8.4
안면도(감)(132),Dec-13,405.6,1942,326.6,241.1,518.5,73.1,8.3
안면도(감)(132),Jan-14,406.6,1944,,244.8,519.2,73.6,8.4
안면도(감)(132),Feb-14,407.7,1953,,219.1,508.6,72.6,8.7
안면도(감)(132),Mar-14,409.2,1943,,230.3,530.6,67.8,8.5
안면도(감)(132),Apr-14,409.1,1938,,237.1,531,74.4,9.1
안면도(감)(132),May-14,407.5,1941,,239.9,530.4,74.8,9.4
안면도(감)(132),Jun-14,404.3,1939,,239.8,519.3,72,9.6
안면도(감)(132),Jul-14,399.3,1885,,240.2,521.5,72.7,9.5
안면도(감)(132),Aug-14,396.9,1910,326,237.2,520.5,72.2,9.7
안면도(감)(132),Sep-14,398.9,1962,325.7,,,,9.7
안면도(감)(132),Oct-14,402.6,1952,325.8,234.7,518.8,71.3,9.5
안면도(감)(132),Nov-14,405.8,1964,326.3,235.6,517.9,72.6,9.3
안면도(감)(132),Dec-14,407.8,1962,325.5,232.2,513.7,72.5,8.9
안면도(감)(132),Jan-15,409.2,1970,328.1,231.7,,69.1,8.9
안면도(감)(132),Feb-15,410.2,1961,329.5,230.1,530.4,72.7,9.2
안면도(감)(132),Mar-15,410.6,1954,328.8,232.1,538.6,75.2,9.3
안면도(감)(132),Apr-15,411.1,1952,328.4,227.3,518.3,71.6,9.2
안면도(감)(132),May-15,410,1937,328.2,227.2,504.9,69.4,9.1
안면도(감)(132),Jun-15,406.3,1942,329.1,244.1,522.9,72.7,9.2
안면도(감)(132),Jul-15,402,1925,328.2,235.9,514.7,71.9,9.1
안면도(감)(132),Aug-15,399.2,1906,329,236.3,516.1,70.8,9.8
안면도(감)(132),Sep-15,400.8,1972,328.8,237.2,518.5,71.1,9.5
안면도(감)(132),Oct-15,405.5,1956,329.6,235.3,516.4,71.8,8.9
안면도(감)(132),Nov-15,409,1979,329.9,232.7,523.7,73.3,9.8
안면도(감)(132),Dec-15,410.4,1970,330,232.7,523.1,71.9,9.4
안면도(감)(132),Jan-16,411.4,1967,329.2,239.6,524.6,71.9,9.4
안면도(감)(132),Feb-16,412.4,1964,329.5,238.4,523.5,,9.3
안면도(감)(132),Mar-16,413.7,1968,330,,,69.6,9.3
안면도(감)(132),Apr-16,414.2,1965,330.2,232.3,513,,9.6
안면도(감)(132),May-16,412.8,1966,330.3,235.8,522.4,71.9,9.6
안면도(감)(132),Jun-16,409.1,1960,330.3,237.1,531.1,72.7,9.8
안면도(감)(132),Jul-16,404.5,1929,330.3,237.7,533.4,73.2,9.5
안면도(감)(132),Aug-16,402.1,1920,330.4,239.9,533.1,73.5,9.2
안면도(감)(132),Sep-16,404.3,1984,330.6,236.8,519.7,72.3,9.3
안면도(감)(132),Oct-16,408.8,1991,330.1,243,534.1,72.9,
안면도(감)(132),Nov-16,411.8,1991,329.7,249.1,550,74.2,9.4
안면도(감)(132),Dec-16,413.2,1980,329.5,243.3,542.4,73.6,9.5
